Time_Index,Demand_MW_MG,Demand_MW_SP,Demand_MW_GO,Demand_MW_RJ,Demand_MW_ES,Demand_MW_RO,Demand_MW_MS,Demand_MW_MT,Demand_MW_AC,Demand_MW_DF,Demand_MW_PA,Demand_MW_TO,Demand_MW_MA,Demand_MW_AP,Demand_MW_AM,Demand_MW_RR,Demand_MW_SC,Demand_MW_PR,Demand_MW_RS,Demand_MW_PI,Demand_MW_CE,Demand_MW_RN,Demand_MW_PB,Demand_MW_PE,Demand_MW_AL,Demand_MW_SE,Demand_MW_BA,Demand_MW_ARG,Demand_MW_URY,Demand_MW_VEN,Demand_MW_PRY
21,7529.14,15952.54,2502.15,5645.49,1395.48,528.82,911.27,1195.02,216.76,890.31,1947.43,430.8,1831.18,148.65,732.88,119.06,2676.77,4201.51,4211.71,682.61,1956.56,774.59,870.12,1971.49,608.36,482.14,3214.15,0.0,0.0,0.0,0.0
22,7699.11,16312.66,2558.64,5772.94,1426.99,540.76,931.84,1222.0,221.66,910.41,1990.04,440.23,1871.24,151.9,748.92,121.66,2936.97,4609.92,4621.11,681.77,1954.15,773.64,869.05,1969.06,607.61,481.54,3210.19,0.0,0.0,0.0,0.0
23,7611.46,16126.96,2529.51,5707.22,1410.74,534.6,921.23,1208.09,219.13,900.05,2025.18,448.0,1904.28,154.58,762.14,123.81,2990.55,4694.03,4705.42,693.79,1988.61,787.28,884.37,2003.79,618.32,490.03,3266.81,0.0,0.0,0.0,0.0
24,7327.43,15525.17,2435.12,5494.25,1358.1,514.65,886.86,1163.01,210.96,866.46,2040.51,451.39,1918.69,155.75,767.91,124.75,2924.66,4590.6,4601.74,696.31,1995.84,790.14,887.59,2011.07,620.57,491.81,3278.68,0.0,0.0,0.0,0.0
25,6923.4,14669.12,2300.85,5191.3,1283.21,486.28,837.96,1098.88,199.32,818.69,2014.34,445.61,1894.09,153.75,758.06,123.15,2752.8,4320.85,4331.34,681.83,1954.33,773.71,869.13,1969.25,607.67,481.59,3210.5,0.0,0.0,0.0,0.0
26,6584.49,13951.04,2188.22,4937.18,1220.4,462.47,796.94,1045.09,189.57,778.61,1972.1,436.26,1854.37,150.53,742.17,120.57,2614.74,4104.15,4114.11,662.76,1899.68,752.07,844.82,1914.17,590.67,468.12,3120.71,0.0,0.0,0.0,0.0
27,6351.04,13456.42,2110.63,4762.13,1177.13,446.08,768.68,1008.03,182.85,751.01,1942.2,429.65,1826.26,148.25,730.91,118.74,2517.23,3951.09,3960.68,643.05,1843.16,729.7,819.69,1857.23,573.1,454.19,3027.88,0.0,0.0,0.0,0.0
28,6222.03,13183.07,2067.76,4665.4,1153.22,437.01,753.07,987.56,179.13,735.75,1896.6,419.56,1783.38,144.77,713.75,115.95,2446.51,3840.09,3849.41,630.25,1806.48,715.18,803.38,1820.27,561.69,445.15,2967.61,0.0,0.0,0.0,0.0
29,6226.74,13193.05,2069.33,4668.93,1154.09,437.35,753.64,988.31,179.27,736.31,1859.97,411.46,1748.93,141.97,699.97,113.71,2416.82,3793.49,3802.7,619.32,1775.17,702.78,789.45,1788.71,551.96,437.44,2916.17,0.0,0.0,0.0,0.0
30,6358.21,13471.6,2113.02,4767.51,1178.46,446.58,769.55,1009.17,183.05,751.85,1838.66,406.74,1728.9,140.34,691.95,112.41,2428.89,3812.43,3821.68,610.72,1750.52,693.02,778.49,1763.88,544.29,431.36,2875.69,0.0,0.0,0.0,0.0
31,6501.97,13776.19,2160.79,4875.3,1205.1,456.68,786.95,1031.99,187.19,768.85,1822.59,403.19,1713.78,139.12,685.9,111.43,2443.61,3835.54,3844.85,572.07,1639.73,649.16,729.22,1652.24,509.84,404.06,2693.68,0.0,0.0,0.0,0.0
32,6837.8,14487.75,2272.4,5127.12,1267.35,480.26,827.6,1085.29,196.86,808.56,1737.36,384.33,1633.65,132.61,653.83,106.22,2539.43,3985.95,3995.62,571.81,1638.99,648.87,728.89,1651.49,509.61,403.88,2692.46,0.0,0.0,0.0,0.0
33,7445.59,15775.52,2474.38,5582.85,1380.0,522.95,901.16,1181.76,214.36,880.44,1742.22,385.41,1638.22,132.98,655.66,106.51,2857.8,4485.66,4496.55,624.36,1789.62,708.5,795.88,1803.28,556.45,441.0,2939.91,0.0,0.0,0.0,0.0
34,7892.63,16722.68,2622.95,5918.04,1462.85,554.35,955.26,1252.71,227.23,933.3,1856.23,410.63,1745.42,141.68,698.56,113.48,3033.27,4761.08,4772.64,684.87,1963.04,777.16,873.0,1978.02,610.37,483.73,3224.8,0.0,0.0,0.0,0.0
35,8197.95,17369.6,2724.42,6146.98,1519.44,575.8,992.22,1301.17,236.02,969.4,1930.24,427.0,1815.01,147.33,726.41,118.01,3159.99,4959.98,4972.03,712.21,2041.41,808.19,907.86,2056.99,634.74,503.05,3353.55,0.0,0.0,0.0,0.0
36,8339.25,17668.98,2771.37,6252.93,1545.63,585.72,1009.32,1323.6,240.09,986.11,1949.3,431.22,1832.93,148.79,733.59,119.17,3265.95,5126.3,5138.75,727.72,2085.88,825.79,927.63,2101.8,648.57,514.0,3426.6,0.0,0.0,0.0,0.0
37,8426.9,17854.68,2800.5,6318.65,1561.88,591.88,1019.93,1337.51,242.61,996.47,1955.66,432.62,1838.91,149.27,735.98,119.56,3243.02,5090.31,5102.67,728.18,2087.18,826.3,928.21,2103.11,648.97,514.32,3428.73,0.0,0.0,0.0,0.0
38,8667.1,18363.62,2880.33,6498.76,1606.4,608.75,1049.0,1375.64,249.53,1024.88,1946.68,430.64,1830.47,148.59,732.6,119.01,3452.05,5418.4,5431.55,717.32,2056.05,813.98,914.37,2071.74,639.29,506.65,3377.6,0.0,0.0,0.0,0.0
39,8778.5,18599.65,2917.35,6582.29,1627.05,616.57,1062.48,1393.32,252.73,1038.05,2019.2,446.68,1898.66,154.12,759.89,123.45,3579.01,5617.68,5631.32,733.74,2103.11,832.61,935.29,2119.16,653.93,518.25,3454.91,0.0,0.0,0.0,0.0
40,8804.51,18654.76,2925.99,6601.79,1631.87,618.4,1065.63,1397.45,253.48,1041.13,2089.1,462.14,1964.38,159.46,786.2,127.72,3560.18,5588.13,5601.69,751.9,2155.18,853.22,958.45,2171.62,670.11,531.08,3540.44,0.0,0.0,0.0,0.0
