Time_Index,Demand_MW_MG,Demand_MW_SP,Demand_MW_GO,Demand_MW_RJ,Demand_MW_ES,Demand_MW_RO,Demand_MW_MS,Demand_MW_MT,Demand_MW_AC,Demand_MW_DF,Demand_MW_PA,Demand_MW_TO,Demand_MW_MA,Demand_MW_AP,Demand_MW_AM,Demand_MW_RR,Demand_MW_SC,Demand_MW_PR,Demand_MW_RS,Demand_MW_PI,Demand_MW_CE,Demand_MW_RN,Demand_MW_PB,Demand_MW_PE,Demand_MW_AL,Demand_MW_SE,Demand_MW_BA,Demand_MW_ARG,Demand_MW_URY,Demand_MW_VEN,Demand_MW_PRY
11,7825.004224999999,16579.410849999997,2600.4684349999998,5867.333464999999,1450.3199699999996,549.5975349999999,947.0755999999998,1241.9841299999998,225.28132,925.2959799999998,2102.2661249999996,465.05206499999997,1976.7734099999998,160.46225999999996,791.1485949999998,128.52055,2846.1259149999996,4467.343129999999,4478.193955,719.2992399999998,2061.7217249999994,816.228945,916.8882149999998,2077.45867,641.0563449999999,508.05251999999984,3386.9128399999995,0.0,0.0,0.0,0.0
12,8008.883474999999,16969.013945,2661.583919999999,6005.22341,1484.4058549999997,562.5145649999998,969.3360349999997,1271.1708999999998,230.57028499999998,947.0496099999998,2123.6429,469.78224499999993,1996.8636799999997,162.09963,799.1924999999999,129.83304499999997,2875.9234499999993,4514.112134999999,4525.066919999999,717.8697899999999,2057.6283,814.60457,915.0689149999997,2073.339255,639.7828349999999,507.03890999999993,3380.1944249999992,0.0,0.0,0.0,0.0
13,8033.3660549999995,17020.889984999998,2669.71879,6023.572349999999,1488.9411099999998,564.2428999999998,972.2988949999999,1275.0564049999998,231.28500999999994,949.9344999999998,2114.8972649999996,467.8459899999999,1988.6378449999997,161.42388999999997,795.904765,129.30024999999998,2855.8591699999993,4482.599259999999,4493.48907,719.3772099999999,2061.96863,816.3199099999998,916.9921749999999,2077.7055749999995,641.1343149999999,508.1044999999999,3387.3156849999996,0.0,0.0,0.0,0.0
14,7912.5515399999995,16764.914474999998,2629.5642399999997,5932.984205,1466.5507249999996,555.7571649999999,957.6795199999999,1255.8757849999997,227.80235,935.6529949999998,2118.78277,468.7166549999999,1992.3024349999998,161.72277499999996,797.3731999999999,129.53415999999999,2884.3961899999995,4527.406019999999,4538.3997899999995,720.2218849999999,2064.3727049999998,817.2685449999998,918.07076,2080.122645,641.8750299999999,508.7022699999999,3391.2661649999995,0.0,0.0,0.0,0.0
15,7853.749164999998,16640.305419999997,2610.0197599999997,5888.892169999999,1455.6479199999999,551.6247549999999,950.5582599999999,1246.5453749999997,226.11299999999997,928.7006699999998,2145.5004899999994,474.616385,2017.4217699999997,163.76298999999995,807.418335,131.17152999999996,2972.2163999999993,4665.256979999999,4676.5886199999995,723.6655599999998,2074.2489049999995,821.1800399999997,922.4500749999999,2090.0768149999994,644.9548449999999,511.1323349999999,3407.4839249999995,0.0,0.0,0.0,0.0
16,7886.4835699999985,16709.659734999997,2620.9095699999993,5913.426729999998,1461.7165849999997,553.9248699999999,954.5217349999998,1251.7433749999998,227.04863999999998,932.5731799999999,2178.5337799999998,481.93256999999994,2048.4798199999996,166.28401999999994,819.8545499999999,133.18575499999997,3034.319504999999,4762.732475,4774.298024999999,726.4334949999999,2082.1888499999995,824.3248299999999,925.9847149999999,2098.0817349999998,647.4238949999998,513.0945799999998,3420.530904999999,0.0,0.0,0.0,0.0
17,8010.754754999998,16972.964425,2662.2076799999995,6006.613874999999,1484.7437249999998,562.644515,969.5569499999999,1271.4567899999997,230.63525999999996,947.2705249999999,2201.84681,487.0915849999999,2070.4023849999994,168.064335,828.6261749999998,134.61520499999997,3074.4740549999997,4825.758224999999,4837.4667199999985,730.7218449999999,2094.4691249999996,829.1849599999999,931.4556099999999,2110.4529749999997,651.2444249999998,516.1224149999999,3440.712139999999,0.0,0.0,0.0,0.0
18,8135.818634999998,17237.958464999996,2703.7656899999993,6100.398789999999,1507.9268049999998,571.429135,984.6961249999998,1291.3131499999997,234.23487499999996,962.0588349999999,2193.5819899999997,485.25928999999996,2062.6313749999995,167.44057499999997,825.5203699999998,134.1084,3105.843985,4874.983284999999,4886.821729999999,727.8629449999999,2086.2822749999996,825.9492049999999,927.8040149999998,2102.20115,648.6974049999999,514.1081899999999,3427.262314999999,0.0,0.0,0.0,0.0
19,8329.015299999997,17647.300964999995,2767.973985,6245.254054999999,1543.7410249999998,585.0089099999999,1008.0871249999999,1321.9813499999996,239.79673499999996,984.9040449999998,2194.5566149999995,485.4672099999999,2063.5540199999996,167.50554999999997,825.8842299999998,134.16037999999998,3153.5096449999996,4949.821489999999,4961.8418649999985,731.059715,2095.430755,829.5748099999998,931.8844449999998,2111.4275999999995,651.5433099999999,516.356325,3442.29753,0.0,0.0,0.0,0.0
20,8693.330124999999,18419.190969999996,2889.048399999999,6518.42195,1611.263045,610.596065,1052.1791599999997,1379.7961049999997,250.28369999999995,1027.9824699999997,2348.5343699999994,519.5400999999999,2208.3313149999994,179.26602499999996,883.8289349999999,143.581755,3165.7509349999996,4969.015104999999,4981.087459999999,846.8971449999999,2427.4530049999994,961.0192349999999,1079.5336349999998,2445.9838749999994,754.77559,598.1728449999999,3987.723669999999,0.0,0.0,0.0,0.0
21,9784.11743,20730.325729999997,3251.5439249999995,7336.314254999998,1813.4262599999997,687.20159,1184.1953649999998,1552.9284899999998,281.67961999999994,1156.9578449999997,2530.6852849999996,559.8245999999999,2379.6184099999996,193.17067499999996,952.3775599999998,154.71846999999997,3478.4626149999995,5459.862244999999,5473.117144999999,887.0516949999999,2542.5497199999995,1006.5797049999999,1130.7209399999997,2561.9512549999995,790.5638199999999,626.5409299999998,4176.787925,0.0,0.0,0.0,0.0
22,10004.993444999998,21198.301669999993,3324.9526799999994,7501.935529999999,1854.3735049999998,702.7176199999998,1210.92608,1587.9889999999998,288.04716999999994,1183.0777949999997,2586.0569799999994,572.0788849999999,2431.67638,197.39405,973.2215399999998,158.09716999999998,3816.592514999999,5990.591039999998,6005.132444999998,885.9601149999999,2539.4179249999997,1005.3451799999998,1129.3304749999998,2558.7934699999996,789.5891949999999,625.7612299999998,4171.6419049999995,0.0,0.0,0.0,0.0
23,9891.09227,20956.984519999995,3287.098245,7416.532389999999,1833.2566299999996,694.7126999999999,1197.1383849999997,1569.9129549999996,284.75943499999994,1169.6149749999997,2631.7214099999997,582.1759999999998,2474.61186,200.87670999999997,990.4009299999998,160.89109499999998,3886.219725,6099.891984999998,6114.693289999998,901.5801049999999,2584.198694999999,1023.0703599999997,1149.238815,2603.9251049999993,803.5068399999999,636.7939849999999,4245.219595,0.0,0.0,0.0,0.0
24,9521.995284999999,20174.958414999997,3164.438439999999,7139.777874999999,1764.8509499999996,668.7876749999999,1152.4745699999999,1511.3314949999997,274.14251999999993,1125.9647699999998,2651.6427449999996,586.5813049999999,2493.337655,202.39712499999996,997.8990449999998,162.11262499999995,3800.5956699999992,5965.484699999999,5979.961129999999,904.8548449999997,2593.59408,1026.7869299999998,1153.4232049999998,2613.3854649999994,806.4307149999999,639.107095,4260.644659999999,0.0,0.0,0.0,0.0
25,8996.958299999998,19062.52144,2989.9545749999993,6746.094349999999,1667.5313949999997,631.92086,1088.9290199999998,1427.9945599999999,259.01633999999996,1063.887655,2617.634829999999,579.070195,2461.369954999999,199.79812499999997,985.0989699999998,160.033425,3577.2635999999993,5614.9445749999995,5628.57633,886.0380849999999,2539.6518349999997,1005.4361449999999,1129.4344349999997,2559.0403749999996,789.6671649999998,625.8262049999998,4172.044749999999,0.0,0.0,0.0,0.0
26,8556.544754999997,18129.37648,2843.5918899999992,6415.8654099999985,1585.9098,600.9797649999999,1035.6235299999998,1358.0944549999995,246.34621499999997,1011.8036949999998,2562.743949999999,566.91987,2409.7538149999996,195.613735,964.4499149999998,156.68071499999996,3397.8546299999994,5333.342924999998,5346.285944999998,861.2566199999999,2468.6341599999996,977.3149649999999,1097.84359,2487.4639149999994,767.5756649999997,608.3219399999999,4055.3626449999997,0.0,0.0,0.0,0.0
27,8253.176479999998,17486.617789999997,2742.7636849999994,6188.387934999999,1529.6804349999998,579.6809599999999,998.8996599999997,1309.9349849999996,237.61357499999994,975.9374949999998,2523.8888999999995,558.3301749999998,2373.2248699999996,192.65087499999996,949.8175449999998,154.30262999999997,3271.1403849999997,5134.441454999999,5146.903659999999,835.6434749999999,2395.18642,948.2451499999999,1065.1871549999998,2413.4703849999996,744.7434499999998,590.2199049999999,3934.7300599999994,0.0,0.0,0.0,0.0
28,8085.527984999998,17131.399465,2687.05412,6062.687299999999,1498.6093899999998,567.8944949999999,978.6144649999999,1283.3342199999997,232.77943499999995,956.1071249999999,2464.6316999999995,545.2182199999999,2317.50231,188.128615,927.5181249999998,150.677025,3179.239745,4990.196954999999,5002.308294999999,819.0098749999999,2347.5207599999994,929.3764099999997,1043.9923099999999,2365.440864999999,729.9161549999999,578.4724249999999,3856.4091949999993,0.0,0.0,0.0,0.0
29,8091.648629999999,17144.368474999996,2689.094335,6067.274535,1499.7399549999998,568.3363249999999,979.3551799999998,1284.3088449999998,232.96136499999997,956.8348449999997,2417.0310149999996,534.6922699999999,2272.7345349999996,184.49001499999994,909.611015,147.76614499999997,3140.6575899999993,4929.640254999998,4941.608649999999,804.8063399999999,2306.8334149999996,913.2626099999998,1025.8902749999997,2324.4286449999995,717.27202,568.45328,3789.5629149999995,0.0,0.0,0.0,0.0
30,8262.493895,17506.344199999996,2745.8694899999996,6195.379244999999,1531.40877,580.3307099999998,1000.0302249999997,1311.416415,237.87347499999996,977.0290749999998,2389.3386699999996,528.5586299999999,2246.7055499999997,182.37182999999996,899.1890249999999,146.07679499999995,3156.3425549999993,4954.252784999999,4966.27316,793.6306399999999,2274.8007399999997,900.5794899999999,1011.6477549999998,2292.1620599999997,707.3048549999997,560.5523199999999,3736.9591549999996,0.0,0.0,0.0,0.0
31,8449.310015,17902.158904999997,2807.946604999999,6335.452349999999,1566.0274499999996,593.45566,1022.6415249999999,1341.0710049999998,243.25340499999996,999.1205749999999,2368.4557049999994,523.9454049999999,2227.0571099999993,180.78643999999997,891.3270499999999,144.803285,3175.4711949999996,4984.284229999998,4996.382574999999,743.404965,2130.829135,843.5834199999998,947.6213899999999,2147.0858799999996,662.5370799999998,525.07597,3500.437159999999,0.0,0.0,0.0,0.0
32,8885.721099999999,18826.831124999997,2952.9837999999995,6662.692439999999,1646.9213249999998,624.09787,1075.4661999999998,1410.3343549999997,255.81957,1050.7237199999997,2257.6993199999993,499.4368349999999,2122.928175,172.32669499999997,849.6520849999999,138.03288999999998,3299.989284999999,5179.742025,5192.308189999999,743.0670949999998,2129.8675049999997,843.2065649999998,947.1925549999999,2146.111255,662.2381949999998,524.8420599999998,3498.8517699999993,0.0,0.0,0.0,0.0
33,9675.544204999998,20500.288239999994,3215.4568099999997,7254.913575,1793.3099999999995,679.573525,1171.0574199999996,1535.6971199999998,278.56082,1144.13178,2264.0148899999995,500.84029499999997,2128.86689,172.80750999999995,852.0301699999998,138.409745,3713.7110999999995,5829.115169999998,5843.2667249999995,811.3558199999999,2325.611189999999,920.6957499999999,1034.24606,2343.3623599999996,723.106775,573.0794999999999,3820.413044999999,0.0,0.0,0.0,0.0
34,10256.472684999999,21731.122659999997,3408.523524999999,7690.492979999998,1900.9735749999995,720.3778249999999,1241.3603699999999,1627.8966449999996,295.2853849999999,1212.8233499999997,2412.1708849999995,533.6136849999999,2268.1732899999997,184.11315999999997,907.7787199999997,147.46725999999995,3941.7343649999993,6187.0234599999985,6202.045679999999,889.9885649999998,2550.9704799999995,1009.9194199999998,1134.4634999999998,2570.4369899999997,793.1758149999998,628.6071349999999,4190.6276,0.0,0.0,0.0,0.0
35,10653.236024999998,22571.795199999993,3540.3837899999994,7988.000509999998,1974.51228,748.2520999999997,1289.3898899999997,1690.8704149999996,306.70799,1259.7352999999998,2508.3468799999996,554.8864999999998,2358.6054949999993,191.45533499999996,943.9697949999997,153.353995,4106.407004999999,6445.4940099999985,6461.152984999998,925.5168949999999,2652.8122949999993,1050.2429049999998,1179.76407,2673.0585049999995,824.8446299999998,653.7134749999999,4357.938225,0.0,0.0,0.0,0.0
36,10836.855374999997,22960.839509999994,3601.395314999999,8125.682534999999,2008.546185,761.1431399999999,1311.61134,1720.0181999999998,311.99695499999996,1281.4499449999998,2533.1153499999996,560.3703899999999,2381.8925349999995,193.35260499999995,953.3002049999998,154.861415,4244.102024999999,6661.62685,6677.805624999998,945.6721399999998,2710.6010599999995,1073.1141049999999,1205.4551849999998,2731.2891,842.8167149999999,667.9429999999999,4452.8667,0.0,0.0,0.0,0.0
37,10950.756549999998,23202.156659999997,3639.2497499999995,8211.085674999998,2029.6630599999999,769.1480599999999,1325.3990349999997,1738.0942449999995,315.271695,1294.9127649999998,2541.38017,562.1896899999999,2389.6635449999994,193.97636499999996,956.4060099999998,155.36821999999998,4214.304489999999,6614.8578449999995,6630.919664999999,946.2699099999999,2712.290409999999,1073.7768499999997,1206.2088949999998,2732.9914449999997,843.3365149999998,668.3588399999999,4455.634634999999,0.0,0.0,0.0,0.0
38,11262.896449999998,23863.524189999993,3742.988834999999,8445.138619999998,2087.5168,791.070625,1363.1754999999998,1787.64418,324.264235,1331.8315599999999,2529.7106599999997,559.6166799999999,2378.695765,193.092705,952.0137,154.653495,4485.938975,7041.210799999998,7058.299224999999,932.1573399999999,2671.8369749999997,1057.7670099999998,1188.2238149999998,2692.2261299999996,830.7573549999997,658.3916749999999,4389.191199999999,0.0,0.0,0.0,0.0
39,11407.66075,24170.245174999996,3791.096324999999,8553.685854999998,2114.3514749999995,801.232715,1380.6927599999997,1810.6193399999995,328.4226349999999,1348.9459749999999,2623.9503999999997,580.46066,2467.3086699999994,200.27893999999998,987.4770549999998,160.423275,4650.923494999999,7300.175159999999,7317.900339999998,953.4951299999998,2732.9914449999997,1081.9766949999998,1215.4093549999998,2753.8484199999994,849.7820349999998,673.4658749999999,4489.655544999999,0.0,0.0,0.0,0.0
40,11441.460744999998,24241.860619999992,3802.324004999999,8579.026104999999,2120.6150649999995,803.6107999999999,1384.786185,1815.9862749999998,329.3972599999999,1352.948435,2714.7854499999994,600.5509299999999,2552.7118099999993,207.21826999999996,1021.6668999999999,165.97213999999997,4626.453909999999,7261.774934999999,7279.3961549999985,977.0940499999998,2800.656409999999,1108.75939,1245.5057749999999,2822.0201899999997,870.8079449999999,690.1384599999999,4600.80178,0.0,0.0,0.0,0.0
41,11399.149024999999,24152.208114999998,3788.2634149999994,8547.305309999998,2112.7660849999997,800.6349449999999,1379.6661549999997,1809.2678599999997,328.17573,1347.9453599999997,2734.69379,604.9562349999999,2571.4376049999996,208.73868499999995,1029.15202,167.19366999999997,4591.003549999999,7206.143339999999,7223.634609999998,972.4678299999999,2787.4145049999993,1103.522405,1239.6190399999996,2808.6873199999995,866.7015249999998,686.876715,4579.04815,0.0,0.0,0.0,0.0
