Time_Index,off_wind_AC,off_wind_AL,off_wind_AM,off_wind_AP,off_wind_BA,off_wind_CE,off_wind_DF,off_wind_ES,off_wind_GO,off_wind_MA,off_wind_MG,off_wind_MS,off_wind_MT,off_wind_PA,off_wind_PB,off_wind_PE,off_wind_PI,off_wind_PR,off_wind_RJ,off_wind_RN,off_wind_RO,off_wind_RR,off_wind_RS,off_wind_SC,off_wind_SE,off_wind_SP,off_wind_TO,on_wind_AC,on_wind_AL,on_wind_AM,on_wind_AP,on_wind_BA,on_wind_CE,on_wind_DF,on_wind_ES,on_wind_GO,on_wind_MA,on_wind_MG,on_wind_MS,on_wind_MT,on_wind_PA,on_wind_PB,on_wind_PE,on_wind_PI,on_wind_PR,on_wind_RJ,on_wind_RN,on_wind_RO,on_wind_RR,on_wind_RS,on_wind_SC,on_wind_SE,on_wind_SP,on_wind_TO,solar_pv_AC,solar_pv_AL,solar_pv_AM,solar_pv_AP,solar_pv_BA,solar_pv_CE,solar_pv_DF,solar_pv_ES,solar_pv_GO,solar_pv_MA,solar_pv_MG,solar_pv_MS,solar_pv_MT,solar_pv_PA,solar_pv_PB,solar_pv_PE,solar_pv_PI,solar_pv_PR,solar_pv_RJ,solar_pv_RN,solar_pv_RO,solar_pv_RR,solar_pv_RS,solar_pv_SC,solar_pv_SE,solar_pv_SP,solar_pv_TO,biomass
2372,0.0,0.2283,0.0,0.592,0.2607,0.2054,0.0,0.2743,0.0,0.343,0.0,0.0,0.0,0.468,0.2244,0.161,0.3293,0.7505,0.3196,0.3234,0.0,0.0,0.2338,0.3139,0.1805,0.7185,0.0,0.0118,0.2552,0.0079,0.1,0.07,0.2452,0.0,0.1049,0.0197,0.0671,0.045,0.0061,0.0048,0.0349,0.2441,0.1084,0.0771,0.089,0.2005,0.401,0.0004,0.0126,0.2123,0.1001,0.2033,0.2227,0.0076,0.4374,0.2525,0.3687,0.1083,0.2986,0.2817,0.1969,0.2417,0.3565,0.2817,0.2782,0.3301,0.361,0.2881,0.2655,0.2696,0.2796,0.2747,0.2099,0.2614,0.3869,0.3676,0.3331,0.2765,0.2695,0.2963,0.3379,0.4
2373,0.0,0.213,0.0,0.5328,0.3127,0.2316,0.0,0.3055,0.0,0.3458,0.0,0.0,0.0,0.4496,0.2346,0.1811,0.323,0.7018,0.3928,0.3322,0.0,0.0,0.2857,0.2936,0.1991,0.7519,0.0,0.0113,0.2312,0.0119,0.0906,0.0681,0.1559,0.0,0.1235,0.0254,0.0424,0.0389,0.0127,0.0064,0.0284,0.1742,0.0928,0.0418,0.0987,0.1922,0.2623,0.0012,0.0157,0.1934,0.101,0.199,0.2483,0.009,0.3332,0.1055,0.2713,0.0609,0.1445,0.1428,0.1627,0.1063,0.2283,0.154,0.149,0.2209,0.2436,0.1746,0.1253,0.1204,0.1472,0.1666,0.0909,0.1259,0.329,0.2959,0.2233,0.1617,0.1178,0.1784,0.2055,0.4
2374,0.0,0.1905,0.0,0.4875,0.3347,0.2542,0.0,0.3108,0.0,0.2919,0.0,0.0,0.0,0.4174,0.2255,0.1683,0.3335,0.6586,0.4348,0.3246,0.0,0.0,0.3412,0.2776,0.1986,0.7735,0.0,0.008,0.1924,0.0095,0.0726,0.0521,0.0656,0.0,0.113,0.0158,0.0273,0.0266,0.0079,0.0067,0.0205,0.1624,0.066,0.012,0.0938,0.1673,0.1997,0.0017,0.0189,0.1243,0.0957,0.1967,0.2456,0.0048,0.2506,0.0,0.1727,0.02,0.0,0.0,0.0535,0.0,0.0717,0.0269,0.0062,0.1033,0.1163,0.0703,0.0,0.0,0.0,0.0696,0.0,0.0,0.1791,0.1871,0.1083,0.0577,0.0,0.0553,0.0658,0.4
2375,0.0,0.2273,0.0,0.4907,0.3851,0.316,0.0,0.4195,0.0,0.369,0.0,0.0,0.0,0.4745,0.1835,0.1508,0.5747,0.5765,0.2033,0.3251,0.0,0.0,0.3745,0.2113,0.236,0.567,0.0,0.0123,0.2162,0.0048,0.0505,0.0581,0.1363,0.0,0.1213,0.0088,0.0683,0.0228,0.0101,0.0035,0.0299,0.2262,0.0763,0.0284,0.0874,0.0841,0.2612,0.0019,0.0177,0.1603,0.1186,0.2168,0.1977,0.0149,0.1355,0.0,0.0544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0424,0.0517,0.0,0.0,0.0,0.0,0.0,0.4
2376,0.0,0.2309,0.0,0.4571,0.417,0.252,0.0,0.4036,0.0,0.4048,0.0,0.0,0.0,0.4016,0.1933,0.1677,0.5195,0.5103,0.2215,0.3003,0.0,0.0,0.448,0.186,0.2278,0.5096,0.0,0.0169,0.1938,0.0071,0.0504,0.0654,0.1089,0.0,0.0744,0.0093,0.058,0.0247,0.0169,0.0033,0.0253,0.2032,0.071,0.0317,0.121,0.0857,0.2326,0.0041,0.0188,0.2147,0.1303,0.1902,0.2304,0.0168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2377,0.0,0.2141,0.0,0.4902,0.4088,0.25,0.0,0.3582,0.0,0.356,0.0,0.0,0.0,0.3798,0.1971,0.1705,0.4436,0.4697,0.2608,0.2433,0.0,0.0,0.5084,0.1654,0.192,0.5065,0.0,0.0278,0.1453,0.0086,0.0499,0.0573,0.1033,0.0,0.0509,0.0088,0.0503,0.0256,0.0219,0.0035,0.0227,0.1643,0.0723,0.0289,0.1548,0.085,0.1779,0.0033,0.0221,0.2566,0.1355,0.1268,0.2491,0.0146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2378,0.0,0.1902,0.0,0.5195,0.3624,0.2194,0.0,0.3165,0.0,0.3101,0.0,0.0,0.0,0.3391,0.1724,0.1466,0.4859,0.4395,0.3045,0.1788,0.0,0.0,0.5597,0.1321,0.1623,0.5299,0.0,0.0254,0.0969,0.01,0.0516,0.0452,0.1015,0.0,0.0338,0.0082,0.0397,0.0239,0.0281,0.0032,0.0235,0.1362,0.053,0.028,0.1881,0.0864,0.1447,0.0031,0.0309,0.2897,0.1454,0.0782,0.2568,0.0247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2379,0.0,0.1673,0.0,0.5379,0.3213,0.1735,0.0,0.249,0.0,0.3368,0.0,0.0,0.0,0.3105,0.1179,0.1004,0.4738,0.3893,0.3594,0.132,0.0,0.0,0.5864,0.0977,0.1409,0.5319,0.0,0.0241,0.0619,0.0106,0.0451,0.0358,0.0649,0.0,0.0239,0.0082,0.029,0.0226,0.0325,0.0038,0.0259,0.122,0.0414,0.0238,0.2032,0.0999,0.1275,0.0035,0.0385,0.3028,0.1575,0.0489,0.2474,0.0385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2380,0.0,0.1394,0.0,0.5496,0.2607,0.165,0.0,0.2568,0.0,0.351,0.0,0.0,0.0,0.3074,0.0795,0.0814,0.3667,0.3584,0.4068,0.1149,0.0,0.0,0.6168,0.0853,0.1251,0.5147,0.0,0.0302,0.0361,0.0118,0.0438,0.0274,0.0345,0.0,0.0246,0.0097,0.0193,0.0239,0.0434,0.0052,0.0292,0.0912,0.0304,0.0176,0.2233,0.105,0.0888,0.0037,0.0237,0.3186,0.1753,0.0397,0.2448,0.0418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2381,0.0,0.1223,0.0,0.5661,0.2331,0.156,0.0,0.2402,0.0,0.2997,0.0,0.0,0.0,0.3033,0.0644,0.0621,0.2841,0.306,0.4275,0.0991,0.0,0.0,0.6231,0.0727,0.1175,0.4531,0.0,0.0286,0.025,0.0106,0.0384,0.02,0.0221,0.0,0.0143,0.0128,0.0203,0.0275,0.0529,0.0061,0.0306,0.0649,0.0222,0.0098,0.2128,0.1035,0.0539,0.0038,0.0177,0.3071,0.1786,0.0263,0.2277,0.0469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2382,0.0,0.1169,0.0,0.563,0.2149,0.1584,0.0,0.2002,0.0,0.2634,0.0,0.0,0.0,0.3316,0.0673,0.0426,0.3,0.2832,0.4853,0.0846,0.0,0.0,0.638,0.0703,0.1115,0.3707,0.0,0.024,0.0179,0.0101,0.0328,0.0179,0.0124,0.0,0.0113,0.0143,0.0253,0.0323,0.0648,0.0058,0.026,0.0383,0.0185,0.0087,0.2083,0.1169,0.0359,0.0034,0.0187,0.3082,0.1804,0.0167,0.2299,0.0461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2383,0.0,0.1199,0.0,0.5326,0.1904,0.1624,0.0,0.1649,0.0,0.2245,0.0,0.0,0.0,0.3541,0.0974,0.0449,0.3196,0.2427,0.5536,0.0887,0.0,0.0,0.6384,0.0645,0.095,0.2783,0.0,0.0194,0.0147,0.011,0.0299,0.0165,0.0108,0.0,0.012,0.0138,0.0243,0.0341,0.074,0.005,0.0222,0.0246,0.0214,0.0106,0.1933,0.1195,0.03,0.0031,0.0195,0.2976,0.1577,0.0149,0.2329,0.0305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2384,0.0,0.1276,0.0,0.5124,0.1888,0.1177,0.0,0.1558,0.0,0.2052,0.0,0.0,0.0,0.3505,0.1283,0.0643,0.351,0.209,0.6085,0.0879,0.0,0.0,0.6378,0.0603,0.0901,0.2201,0.0,0.014,0.0134,0.0111,0.0273,0.0159,0.0092,0.0,0.0131,0.0148,0.0176,0.0345,0.0858,0.0052,0.0196,0.018,0.0212,0.0155,0.1905,0.1271,0.024,0.0027,0.0217,0.2878,0.1433,0.0147,0.2429,0.0148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2385,0.0,0.1291,0.0,0.4988,0.1904,0.0831,0.0,0.1663,0.0,0.1962,0.0,0.0,0.0,0.3177,0.1635,0.0939,0.3856,0.1839,0.6411,0.095,0.0,0.0,0.6248,0.0512,0.1133,0.1839,0.0,0.0153,0.013,0.0114,0.0238,0.0164,0.0118,0.0,0.0154,0.0149,0.0141,0.0341,0.0983,0.006,0.0222,0.0214,0.0215,0.0128,0.1823,0.1311,0.0237,0.0023,0.0245,0.2606,0.1292,0.0227,0.2409,0.0102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2386,0.0,0.1711,0.0,0.459,0.167,0.0641,0.0,0.1833,0.0,0.1626,0.0,0.0,0.0,0.2485,0.1702,0.09,0.1818,0.1673,0.6405,0.121,0.0,0.0,0.6173,0.0447,0.1655,0.1655,0.0,0.0136,0.0269,0.0121,0.0193,0.0148,0.0185,0.0,0.0169,0.015,0.0111,0.0326,0.1069,0.0064,0.0215,0.0336,0.0245,0.0109,0.1691,0.137,0.0572,0.002,0.0311,0.2333,0.1188,0.0412,0.231,0.0112,0.0,0.0104,0.0,0.0,0.001,0.0032,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0086,0.0059,0.0004,0.0,0.0,0.0126,0.0,0.0,0.0,0.0,0.0071,0.0,0.0,0.4
2387,0.0,0.1787,0.0,0.4674,0.1441,0.0972,0.0,0.0938,0.0,0.0825,0.0,0.0,0.0,0.2281,0.1273,0.0696,0.0192,0.1015,0.3959,0.1339,0.0,0.0,0.5454,0.0354,0.1811,0.0767,0.0,0.0177,0.0355,0.0127,0.0076,0.0291,0.0322,0.0,0.0071,0.0122,0.006,0.0463,0.1074,0.0078,0.0145,0.1035,0.0548,0.0229,0.1494,0.0971,0.1065,0.0025,0.0263,0.1783,0.1076,0.068,0.1947,0.0098,0.0,0.1271,0.0,0.0074,0.0643,0.084,0.0129,0.0182,0.0133,0.0269,0.0332,0.0017,0.0018,0.0058,0.104,0.0931,0.0524,0.0039,0.0348,0.1414,0.0,0.0,0.0009,0.0051,0.1233,0.0126,0.0095,0.4
2388,0.0,0.1986,0.0,0.4451,0.1073,0.1167,0.0,0.0895,0.0,0.0514,0.0,0.0,0.0,0.192,0.0899,0.0551,0.0231,0.0485,0.3842,0.1316,0.0,0.0,0.4931,0.0208,0.182,0.0706,0.0,0.0115,0.0787,0.0157,0.005,0.0346,0.096,0.0,0.0088,0.0155,0.0169,0.0885,0.1497,0.0115,0.0219,0.1727,0.0777,0.0467,0.2041,0.122,0.2502,0.0044,0.0358,0.2331,0.1207,0.0947,0.3243,0.0196,0.0058,0.3315,0.0161,0.0663,0.2148,0.2581,0.1119,0.0481,0.1312,0.1132,0.1638,0.0885,0.0644,0.0506,0.2983,0.2729,0.1722,0.1045,0.1538,0.3054,0.019,0.0237,0.0792,0.1076,0.3174,0.1426,0.0654,0.4
2389,0.0,0.1934,0.0,0.4334,0.0834,0.1208,0.0,0.1134,0.0,0.0476,0.0,0.0,0.0,0.1636,0.057,0.0535,0.0579,0.0325,0.4122,0.1107,0.0,0.0,0.5023,0.0155,0.1482,0.0725,0.0,0.0021,0.0844,0.0199,0.0218,0.0368,0.1786,0.0,0.0228,0.0396,0.0495,0.1011,0.2492,0.0162,0.0335,0.169,0.084,0.0467,0.2884,0.1539,0.2389,0.0026,0.0475,0.2296,0.147,0.0868,0.4201,0.0354,0.1281,0.4726,0.1025,0.1567,0.3378,0.3929,0.2279,0.0808,0.2685,0.217,0.3034,0.2502,0.1836,0.1209,0.4431,0.4266,0.2678,0.269,0.2716,0.4721,0.1436,0.0896,0.2252,0.2558,0.4517,0.3115,0.1342,0.4
2390,0.0,0.1787,0.0,0.421,0.0893,0.1085,0.0,0.14,0.0,0.0591,0.0,0.0,0.0,0.1303,0.0465,0.0553,0.1074,0.0388,0.4732,0.0965,0.0,0.0,0.515,0.0202,0.0971,0.0706,0.0,0.0009,0.0744,0.0248,0.0665,0.0317,0.2221,0.0,0.0357,0.0427,0.0551,0.0817,0.262,0.0205,0.0385,0.121,0.0588,0.0347,0.2786,0.175,0.1878,0.0039,0.0586,0.2326,0.1535,0.0496,0.3569,0.0393,0.3221,0.5976,0.1999,0.2967,0.4696,0.5195,0.2947,0.1156,0.3714,0.3316,0.4174,0.3926,0.289,0.1937,0.5409,0.5411,0.3887,0.4091,0.3357,0.5956,0.2775,0.1897,0.3522,0.3767,0.5469,0.4341,0.2009,0.4
2391,0.0,0.1673,0.0,0.3689,0.0882,0.0841,0.0,0.1516,0.0,0.0447,0.0,0.0,0.0,0.0991,0.0433,0.0498,0.1148,0.0391,0.5392,0.0849,0.0,0.0,0.5154,0.0303,0.0785,0.0463,0.0,0.003,0.0659,0.023,0.0829,0.0249,0.2233,0.0,0.0533,0.0339,0.0322,0.0518,0.215,0.0218,0.0404,0.0835,0.0384,0.0248,0.2486,0.1835,0.1483,0.0045,0.0644,0.1942,0.1655,0.0317,0.2561,0.0449,0.4875,0.6383,0.3306,0.4323,0.5317,0.6111,0.3568,0.1411,0.4577,0.3886,0.4869,0.4964,0.3921,0.238,0.63,0.6102,0.4575,0.5142,0.4089,0.6816,0.3506,0.2856,0.4428,0.4711,0.6336,0.5013,0.2435,0.4
2392,0.0,0.1673,0.0,0.2996,0.0772,0.0619,0.0,0.1891,0.0,0.0274,0.0,0.0,0.0,0.0762,0.0497,0.0474,0.0737,0.0367,0.6108,0.0745,0.0,0.0,0.519,0.0411,0.0849,0.0373,0.0,0.0029,0.0639,0.0191,0.1086,0.0232,0.1901,0.0,0.0648,0.019,0.0171,0.0319,0.1382,0.02,0.034,0.0595,0.0284,0.0174,0.2231,0.2141,0.1073,0.0086,0.0612,0.1598,0.1432,0.0315,0.1578,0.0513,0.5887,0.6254,0.4041,0.4255,0.5227,0.6155,0.3537,0.2303,0.5227,0.3351,0.4966,0.5308,0.4511,0.2967,0.6563,0.5834,0.4438,0.5719,0.4502,0.6939,0.3603,0.3798,0.4843,0.5152,0.5811,0.5063,0.3091,0.4
2393,0.0,0.1679,0.0,0.2572,0.0711,0.0465,0.0,0.231,0.0,0.0219,0.0,0.0,0.0,0.081,0.0647,0.055,0.0553,0.0422,0.635,0.0645,0.0,0.0,0.523,0.0477,0.0933,0.0477,0.0,0.0023,0.0654,0.0199,0.0988,0.0232,0.1329,0.0,0.0794,0.0126,0.0133,0.0224,0.0707,0.0202,0.028,0.0435,0.0229,0.0177,0.1322,0.2453,0.0736,0.0163,0.0597,0.1323,0.0894,0.0287,0.1017,0.0663,0.625,0.5591,0.4237,0.4967,0.5224,0.6155,0.3066,0.2171,0.4919,0.3872,0.466,0.5502,0.4564,0.3199,0.6125,0.5751,0.4696,0.5673,0.4273,0.6609,0.4217,0.4043,0.4977,0.521,0.5648,0.4907,0.3442,0.4
2394,0.0,0.2055,0.0,0.2412,0.0679,0.043,0.0,0.2715,0.0,0.0289,0.0,0.0,0.0,0.1027,0.098,0.0767,0.0582,0.0481,0.6418,0.0762,0.0,0.0,0.5292,0.062,0.1429,0.0665,0.0,0.0034,0.0788,0.0236,0.0944,0.0312,0.0962,0.0,0.1183,0.0108,0.0209,0.0274,0.0337,0.0174,0.0271,0.0486,0.0241,0.0221,0.0743,0.26,0.0777,0.0168,0.0523,0.1153,0.0592,0.0412,0.0833,0.073,0.585,0.499,0.4673,0.3932,0.4533,0.5588,0.326,0.2378,0.4916,0.3652,0.4482,0.491,0.4422,0.3264,0.5761,0.5089,0.3984,0.4519,0.4185,0.5522,0.4407,0.4522,0.4535,0.4558,0.4802,0.4351,0.3407,0.4
2395,0.0,0.2441,0.0,0.2387,0.0783,0.0616,0.0,0.3286,0.0,0.0385,0.0,0.0,0.0,0.1403,0.133,0.1103,0.0633,0.0675,0.6414,0.098,0.0,0.0,0.5479,0.0879,0.1944,0.1007,0.0,0.0047,0.1024,0.0233,0.0822,0.0397,0.0826,0.0,0.1909,0.0133,0.028,0.0368,0.0193,0.0186,0.0274,0.0625,0.0276,0.0212,0.0459,0.2984,0.0978,0.0104,0.0423,0.1062,0.0537,0.06,0.0905,0.0768,0.5705,0.4232,0.42,0.3945,0.3687,0.4598,0.2752,0.2245,0.423,0.3547,0.3586,0.4284,0.3922,0.295,0.4454,0.4443,0.3976,0.3329,0.3253,0.4343,0.4292,0.3907,0.3815,0.3714,0.3938,0.3501,0.32,0.4
2396,0.0,0.2539,0.0,0.2614,0.0842,0.103,0.0,0.3883,0.0,0.0646,0.0,0.0,0.0,0.1655,0.1726,0.1405,0.0998,0.0871,0.6307,0.1356,0.0,0.0,0.57,0.1308,0.2657,0.1255,0.0,0.0085,0.1589,0.0237,0.0662,0.0433,0.1019,0.0,0.1911,0.021,0.0333,0.0483,0.0289,0.0153,0.0338,0.093,0.0422,0.0222,0.0397,0.3169,0.1287,0.0096,0.0471,0.0919,0.0635,0.1142,0.1085,0.0667,0.4874,0.2469,0.4087,0.2166,0.2441,0.3244,0.1199,0.1666,0.3225,0.2768,0.2685,0.3459,0.3016,0.2533,0.299,0.3025,0.2576,0.2424,0.2196,0.2995,0.3417,0.3723,0.2922,0.2489,0.2771,0.2774,0.1957,0.4
2397,0.0,0.2678,0.0,0.3105,0.0799,0.224,0.0,0.4458,0.0,0.1263,0.0,0.0,0.0,0.1813,0.2216,0.165,0.155,0.1098,0.6222,0.1886,0.0,0.0,0.59,0.1572,0.3169,0.1457,0.0,0.0038,0.2026,0.0205,0.052,0.0345,0.082,0.0,0.1542,0.0261,0.0219,0.0417,0.052,0.015,0.0277,0.1029,0.0524,0.0131,0.0319,0.2492,0.1345,0.0073,0.0465,0.0681,0.0652,0.1745,0.1094,0.046,0.3924,0.116,0.2978,0.1522,0.1145,0.163,0.1023,0.0778,0.1938,0.1456,0.1502,0.2225,0.1986,0.1816,0.1382,0.1364,0.1303,0.1587,0.0974,0.1364,0.2564,0.2747,0.1877,0.1495,0.1227,0.1724,0.1247,0.4
2398,0.0,0.2853,0.0,0.3663,0.0862,0.2541,0.0,0.4506,0.0,0.1228,0.0,0.0,0.0,0.1546,0.2651,0.2187,0.1455,0.1347,0.5863,0.2537,0.0,0.0,0.61,0.1524,0.3297,0.1543,0.0,0.0007,0.2214,0.0098,0.0429,0.0265,0.0786,0.0,0.1277,0.0092,0.0072,0.0274,0.0471,0.0085,0.0163,0.147,0.067,0.0069,0.0269,0.1647,0.2267,0.0021,0.0539,0.0552,0.0517,0.2121,0.1077,0.0072,0.2655,0.0,0.1868,0.063,0.0,0.0,0.0343,0.0,0.0633,0.0237,0.0065,0.1002,0.0847,0.0746,0.0,0.0,0.0,0.0714,0.0,0.0,0.138,0.1885,0.0901,0.0567,0.0,0.0494,0.0394,0.4
2399,0.0,0.2722,0.0,0.4294,0.0624,0.1063,0.0,0.4768,0.0,0.1281,0.0,0.0,0.0,0.1554,0.1503,0.1586,0.1549,0.1444,0.594,0.2143,0.0,0.0,0.5881,0.1449,0.3196,0.1643,0.0,0.0024,0.2081,0.0036,0.0451,0.0244,0.0492,0.0,0.1131,0.0164,0.0143,0.024,0.042,0.0047,0.0108,0.1649,0.067,0.0093,0.0351,0.1329,0.2457,0.0005,0.0179,0.0621,0.0491,0.2169,0.1148,0.0024,0.1379,0.0,0.0544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033,0.0592,0.0,0.0,0.0,0.0,0.0,0.4
2400,0.0,0.2863,0.0,0.4855,0.0624,0.1026,0.0,0.4568,0.0,0.158,0.0,0.0,0.0,0.1874,0.1265,0.1677,0.1985,0.1437,0.5568,0.2278,0.0,0.0,0.6314,0.1438,0.3228,0.1641,0.0,0.0182,0.2186,0.0048,0.0482,0.0262,0.0457,0.0,0.1178,0.0135,0.013,0.0301,0.0522,0.003,0.009,0.2024,0.0716,0.0108,0.048,0.1163,0.2314,0.0006,0.0203,0.0691,0.0487,0.2338,0.1468,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2401,0.0,0.2953,0.0,0.5245,0.0556,0.0799,0.0,0.4142,0.0,0.1316,0.0,0.0,0.0,0.2402,0.1954,0.1794,0.0464,0.123,0.5142,0.1866,0.0,0.0,0.6517,0.1375,0.3563,0.1591,0.0,0.0319,0.2121,0.006,0.0556,0.027,0.0425,0.0,0.1136,0.0106,0.0123,0.0343,0.0571,0.0046,0.0098,0.1946,0.0623,0.0146,0.0666,0.0936,0.1453,0.0022,0.0339,0.074,0.054,0.2262,0.1681,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2402,0.0,0.2893,0.0,0.5651,0.0529,0.0822,0.0,0.3244,0.0,0.1061,0.0,0.0,0.0,0.2645,0.4028,0.2798,0.0068,0.0924,0.4663,0.1757,0.0,0.0,0.6601,0.1284,0.3717,0.1268,0.0,0.0403,0.1809,0.0072,0.0571,0.0261,0.0346,0.0,0.0934,0.0067,0.0093,0.0361,0.053,0.0049,0.0073,0.1368,0.05,0.0154,0.0669,0.0778,0.0904,0.0055,0.0541,0.0755,0.0557,0.206,0.1695,0.0011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2403,0.0,0.2765,0.0,0.5977,0.0401,0.1221,0.0,0.2521,0.0,0.092,0.0,0.0,0.0,0.2686,0.3917,0.2719,0.031,0.0886,0.3898,0.1819,0.0,0.0,0.6422,0.1293,0.3473,0.1146,0.0,0.047,0.1412,0.0098,0.0558,0.0265,0.0281,0.0,0.0732,0.0073,0.0077,0.035,0.038,0.0048,0.0076,0.123,0.0396,0.0127,0.0688,0.0631,0.0982,0.0112,0.0794,0.0769,0.0569,0.1636,0.1583,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2404,0.0,0.2921,0.0,0.6236,0.03,0.1543,0.0,0.2165,0.0,0.097,0.0,0.0,0.0,0.2632,0.2447,0.1593,0.0509,0.0634,0.3197,0.1876,0.0,0.0,0.6173,0.1295,0.3074,0.1124,0.0,0.0492,0.1143,0.0126,0.0521,0.0219,0.0238,0.0,0.065,0.0073,0.004,0.0351,0.0361,0.0041,0.0068,0.1293,0.0364,0.0069,0.0652,0.0496,0.1054,0.0115,0.0924,0.0747,0.0521,0.1156,0.1462,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2405,0.0,0.3182,0.0,0.6326,0.0216,0.1264,0.0,0.2126,0.0,0.111,0.0,0.0,0.0,0.2484,0.203,0.1272,0.0745,0.0483,0.2632,0.1731,0.0,0.0,0.5771,0.1225,0.2924,0.1254,0.0,0.0541,0.0997,0.0131,0.0433,0.0172,0.0188,0.0,0.0637,0.0047,0.0013,0.0348,0.0366,0.0042,0.0061,0.1035,0.0332,0.0045,0.0592,0.039,0.0799,0.0093,0.1024,0.0721,0.0527,0.0845,0.1386,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2406,0.0,0.2718,0.0,0.5791,0.0144,0.059,0.0,0.209,0.0,0.1394,0.0,0.0,0.0,0.2179,0.2276,0.1483,0.0588,0.0349,0.2198,0.1535,0.0,0.0,0.5339,0.1184,0.2418,0.1237,0.0,0.0519,0.0668,0.0136,0.031,0.0166,0.0121,0.0,0.0601,0.003,0.0019,0.0327,0.0316,0.0026,0.0057,0.0678,0.027,0.0036,0.0577,0.0292,0.0556,0.0079,0.1097,0.0705,0.0545,0.0774,0.1379,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
