Time_Index,off_wind_AC,off_wind_AL,off_wind_AM,off_wind_AP,off_wind_BA,off_wind_CE,off_wind_DF,off_wind_ES,off_wind_GO,off_wind_MA,off_wind_MG,off_wind_MS,off_wind_MT,off_wind_PA,off_wind_PB,off_wind_PE,off_wind_PI,off_wind_PR,off_wind_RJ,off_wind_RN,off_wind_RO,off_wind_RR,off_wind_RS,off_wind_SC,off_wind_SE,off_wind_SP,off_wind_TO,on_wind_AC,on_wind_AL,on_wind_AM,on_wind_AP,on_wind_BA,on_wind_CE,on_wind_DF,on_wind_ES,on_wind_GO,on_wind_MA,on_wind_MG,on_wind_MS,on_wind_MT,on_wind_PA,on_wind_PB,on_wind_PE,on_wind_PI,on_wind_PR,on_wind_RJ,on_wind_RN,on_wind_RO,on_wind_RR,on_wind_RS,on_wind_SC,on_wind_SE,on_wind_SP,on_wind_TO,solar_pv_AC,solar_pv_AL,solar_pv_AM,solar_pv_AP,solar_pv_BA,solar_pv_CE,solar_pv_DF,solar_pv_ES,solar_pv_GO,solar_pv_MA,solar_pv_MG,solar_pv_MS,solar_pv_MT,solar_pv_PA,solar_pv_PB,solar_pv_PE,solar_pv_PI,solar_pv_PR,solar_pv_RJ,solar_pv_RN,solar_pv_RO,solar_pv_RR,solar_pv_RS,solar_pv_SC,solar_pv_SE,solar_pv_SP,solar_pv_TO,biomass
11,0.0,0.2019,0.0,0.3589,0.3303,0.3431,0.0,0.4155,0.0,0.3001,0.0,0.0,0.0,0.2951,0.207,0.1242,0.2479,0.0002,0.4579,0.4551,0.0,0.0,0.3266,0.1127,0.2035,0.0168,0.0,0.0428,0.2649,0.0156,0.0291,0.2123,0.2196,0.0,0.1054,0.1034,0.0336,0.0855,0.0535,0.0258,0.0244,0.4305,0.334,0.0842,0.117,0.0666,0.5664,0.0232,0.1381,0.3198,0.1551,0.2456,0.0845,0.0085,0.0,0.1572,0.0001,0.0058,0.1211,0.1244,0.0646,0.1437,0.0482,0.0476,0.1027,0.0424,0.0109,0.0209,0.1712,0.1654,0.0943,0.0929,0.1873,0.1798,0.0002,0.0,0.0626,0.1035,0.1248,0.1093,0.0398,0.05
12,0.0,0.1855,0.0,0.3767,0.2778,0.3837,0.0,0.422,0.0,0.2604,0.0,0.0,0.0,0.2849,0.2302,0.2531,0.2834,0.0001,0.4134,0.4637,0.0,0.0,0.3567,0.1132,0.1571,0.0105,0.0,0.0376,0.3327,0.0155,0.0955,0.2551,0.3831,0.0,0.1797,0.1594,0.0587,0.1396,0.0924,0.0266,0.0318,0.5102,0.4071,0.1263,0.1406,0.1067,0.6522,0.0223,0.1229,0.3433,0.1885,0.2696,0.1418,0.006,0.0087,0.3282,0.036,0.0609,0.2878,0.3137,0.2495,0.3029,0.1777,0.1703,0.2517,0.1779,0.0763,0.1199,0.3694,0.3517,0.243,0.2688,0.3658,0.3659,0.0277,0.0389,0.1895,0.2803,0.2949,0.2792,0.132,0.05
13,0.0,0.157,0.0,0.3575,0.2323,0.3896,0.0,0.4131,0.0,0.2278,0.0,0.0,0.0,0.2512,0.3131,0.3211,0.3242,0.0002,0.3388,0.4465,0.0,0.0,0.3612,0.1352,0.1328,0.0039,0.0,0.0285,0.3186,0.0128,0.1198,0.2529,0.4613,0.0,0.2375,0.1588,0.0518,0.1519,0.112,0.031,0.058,0.5257,0.395,0.1298,0.1576,0.1699,0.6843,0.0291,0.2308,0.3316,0.2166,0.2461,0.157,0.0022,0.0691,0.4567,0.1607,0.1677,0.445,0.4545,0.379,0.4316,0.2997,0.3018,0.387,0.3198,0.1634,0.2509,0.5292,0.5167,0.3899,0.4241,0.4947,0.5231,0.093,0.1977,0.3279,0.4565,0.4615,0.4045,0.256,0.05
14,0.0,0.162,0.0,0.3381,0.1891,0.3754,0.0,0.4036,0.0,0.2437,0.0,0.0,0.0,0.2412,0.4265,0.392,0.3347,0.0,0.2833,0.3999,0.0,0.0,0.3374,0.1678,0.1402,0.0022,0.0,0.0265,0.3234,0.0239,0.1172,0.2239,0.5117,0.0,0.2393,0.1476,0.0569,0.1339,0.0958,0.0384,0.0625,0.5837,0.4324,0.1261,0.1645,0.1708,0.7237,0.04,0.3206,0.2868,0.2258,0.2315,0.1566,0.002,0.1439,0.5597,0.3037,0.3221,0.5785,0.5783,0.4454,0.585,0.4318,0.4046,0.5341,0.4497,0.2438,0.3542,0.6661,0.6251,0.4701,0.5539,0.5986,0.6415,0.169,0.3777,0.4488,0.5838,0.5984,0.5062,0.3842,0.05
15,0.0,0.1964,0.0,0.3227,0.1664,0.3936,0.0,0.3969,0.0,0.264,0.0,0.0,0.0,0.2273,0.4767,0.3466,0.3608,0.001,0.264,0.3998,0.0,0.0,0.3267,0.2009,0.1713,0.0072,0.0,0.0366,0.3801,0.0335,0.1342,0.2012,0.5278,0.0,0.2224,0.1326,0.0519,0.1116,0.0891,0.0445,0.0645,0.6377,0.4711,0.1233,0.1318,0.1291,0.7564,0.0429,0.3484,0.2247,0.1881,0.2594,0.1268,0.0023,0.2312,0.6745,0.4153,0.4217,0.6609,0.6874,0.4953,0.6248,0.4853,0.4943,0.6177,0.5444,0.2889,0.4244,0.7271,0.6941,0.5414,0.6455,0.6767,0.6899,0.214,0.498,0.5329,0.6636,0.6942,0.5961,0.461,0.05
16,0.0,0.2198,0.0,0.3157,0.1371,0.4086,0.0,0.3889,0.0,0.2702,0.0,0.0,0.0,0.2195,0.4398,0.2306,0.3655,0.0203,0.2858,0.418,0.0,0.0,0.3685,0.2614,0.2139,0.0207,0.0,0.0568,0.4384,0.0544,0.1452,0.189,0.5504,0.0,0.1849,0.1046,0.0448,0.089,0.0845,0.0523,0.066,0.6726,0.4936,0.1334,0.0919,0.1017,0.7828,0.0355,0.3812,0.1897,0.1307,0.3485,0.0841,0.0011,0.3492,0.6836,0.4997,0.562,0.6684,0.6711,0.443,0.6545,0.5247,0.5309,0.6454,0.5368,0.3426,0.4715,0.7298,0.6761,0.5898,0.6857,0.6859,0.6767,0.3033,0.5745,0.5817,0.7072,0.7152,0.599,0.5175,0.05
17,0.0,0.2383,0.0,0.2969,0.1197,0.4293,0.0,0.3906,0.0,0.2549,0.0,0.0,0.0,0.2152,0.4047,0.2179,0.35,0.0613,0.3674,0.4441,0.0,0.0,0.4098,0.3426,0.2423,0.0483,0.0,0.0638,0.4894,0.0563,0.1517,0.1825,0.5968,0.0,0.1475,0.0837,0.0433,0.0678,0.0908,0.0564,0.0607,0.72,0.5133,0.1428,0.0651,0.103,0.7993,0.0336,0.3656,0.1455,0.0877,0.4523,0.0588,0.0011,0.4031,0.6439,0.5149,0.5523,0.637,0.6636,0.3834,0.6647,0.497,0.4582,0.6041,0.4871,0.3643,0.4441,0.6663,0.6621,0.5419,0.7006,0.658,0.6477,0.3139,0.5898,0.6078,0.713,0.6657,0.6048,0.5289,0.05
18,0.0,0.2617,0.0,0.2875,0.1191,0.4419,0.0,0.4203,0.0,0.2512,0.0,0.0,0.0,0.2401,0.41,0.2478,0.3734,0.1209,0.4531,0.4595,0.0,0.0,0.4541,0.4267,0.2543,0.1147,0.0,0.049,0.5334,0.0474,0.167,0.1909,0.6473,0.0,0.1395,0.0688,0.0433,0.0481,0.0944,0.0513,0.0571,0.7534,0.5602,0.159,0.0421,0.1103,0.8171,0.0313,0.32,0.1194,0.0787,0.5326,0.0471,0.0014,0.4509,0.5526,0.5349,0.4947,0.6156,0.6037,0.4414,0.6166,0.4863,0.4895,0.5858,0.4959,0.3629,0.4271,0.5848,0.5956,0.5241,0.6663,0.5971,0.5404,0.3631,0.5524,0.5967,0.6757,0.5788,0.5832,0.4897,0.05
19,0.0,0.2838,0.0,0.2912,0.1318,0.4537,0.0,0.446,0.0,0.2786,0.0,0.0,0.0,0.253,0.4193,0.2857,0.4679,0.2008,0.4921,0.4871,0.0,0.0,0.5105,0.4984,0.2603,0.2068,0.0,0.0524,0.5795,0.0378,0.1522,0.2148,0.6837,0.0,0.1553,0.056,0.0517,0.0335,0.0886,0.0431,0.0628,0.784,0.5866,0.1857,0.0345,0.1125,0.8346,0.0189,0.2776,0.1204,0.0956,0.5904,0.0482,0.003,0.4854,0.4276,0.4614,0.4447,0.5303,0.499,0.3275,0.5238,0.441,0.4366,0.5006,0.4616,0.3671,0.416,0.4755,0.4606,0.4377,0.5788,0.5156,0.4469,0.3153,0.5247,0.5344,0.5935,0.4573,0.5286,0.4783,0.05
20,0.0,0.3044,0.0,0.3081,0.1669,0.4675,0.0,0.4993,0.0,0.3062,0.0,0.0,0.0,0.2855,0.4277,0.3314,0.5842,0.291,0.5345,0.5299,0.0,0.0,0.5598,0.5419,0.2691,0.264,0.0,0.0531,0.606,0.0321,0.1517,0.2542,0.6743,0.0,0.1742,0.0494,0.0482,0.0315,0.0701,0.0398,0.0555,0.7921,0.6158,0.2102,0.0375,0.1146,0.8361,0.0128,0.2522,0.1315,0.1369,0.6087,0.0503,0.0061,0.3226,0.2925,0.4079,0.3848,0.3955,0.3569,0.2332,0.4328,0.3787,0.3241,0.4129,0.4498,0.3621,0.3574,0.278,0.3042,0.3436,0.517,0.3591,0.3047,0.3115,0.3443,0.4488,0.5215,0.338,0.4404,0.3758,0.05
21,0.0,0.3261,0.0,0.3727,0.2168,0.4769,0.0,0.5336,0.0,0.3656,0.0,0.0,0.0,0.3383,0.4403,0.3525,0.7012,0.3705,0.5358,0.5713,0.0,0.0,0.6182,0.5924,0.2772,0.2905,0.0,0.0388,0.5966,0.0216,0.1277,0.2751,0.5779,0.0,0.2001,0.0322,0.0385,0.0311,0.0574,0.0372,0.0374,0.7795,0.6027,0.1893,0.0495,0.1159,0.8265,0.011,0.2259,0.1535,0.1749,0.6068,0.0493,0.0075,0.294,0.1542,0.3128,0.2463,0.2505,0.1989,0.3005,0.2735,0.281,0.2008,0.2864,0.3276,0.2745,0.247,0.1461,0.1606,0.2006,0.3777,0.2491,0.1592,0.2432,0.2767,0.2921,0.414,0.1623,0.3029,0.2442,0.05
22,0.0,0.3319,0.0,0.4035,0.2716,0.4892,0.0,0.5594,0.0,0.4083,0.0,0.0,0.0,0.3681,0.4672,0.3689,0.6929,0.4559,0.5309,0.597,0.0,0.0,0.6579,0.6188,0.3032,0.2893,0.0,0.0256,0.5075,0.0116,0.0712,0.2095,0.3756,0.0,0.1936,0.0195,0.0146,0.0282,0.0456,0.0252,0.0222,0.6678,0.4893,0.0988,0.044,0.0968,0.7077,0.0049,0.1808,0.138,0.1839,0.5124,0.0719,0.0057,0.2261,0.0,0.208,0.1094,0.0788,0.0,0.2523,0.1118,0.1517,0.0762,0.1377,0.2237,0.1711,0.1257,0.0,0.0027,0.059,0.2614,0.1146,0.0,0.1333,0.1846,0.1963,0.2782,0.0,0.1759,0.1203,0.05
23,0.0,0.2949,0.0,0.3575,0.2785,0.4733,0.0,0.4933,0.0,0.398,0.0,0.0,0.0,0.4273,0.3739,0.2944,0.7446,0.4862,0.511,0.594,0.0,0.0,0.7342,0.5342,0.3164,0.2264,0.0,0.0123,0.3752,0.0041,0.1002,0.1767,0.3051,0.0,0.1423,0.0129,0.0242,0.0178,0.0237,0.0094,0.0242,0.5538,0.4167,0.0657,0.0405,0.0708,0.6446,0.0052,0.1145,0.1026,0.1379,0.4303,0.0624,0.0081,0.1534,0.0,0.081,0.0,0.0,0.0,0.0,0.0,0.0063,0.0,0.0001,0.0887,0.0488,0.0012,0.0,0.0,0.0,0.0926,0.0,0.0,0.0603,0.0298,0.1065,0.1002,0.0,0.0236,0.0,0.05
24,0.0,0.3083,0.0,0.412,0.2916,0.5329,0.0,0.4889,0.0,0.4364,0.0,0.0,0.0,0.49,0.3944,0.3339,0.7893,0.4995,0.5133,0.6159,0.0,0.0,0.8065,0.5167,0.3374,0.2178,0.0,0.023,0.3666,0.008,0.116,0.2073,0.3094,0.0,0.1481,0.0236,0.0293,0.0245,0.0347,0.0085,0.0295,0.6095,0.4538,0.0539,0.0587,0.0697,0.6604,0.0046,0.1339,0.116,0.1464,0.389,0.0772,0.0084,0.0054,0.0,0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
25,0.0,0.3483,0.0,0.4349,0.2758,0.5678,0.0,0.4994,0.0,0.4735,0.0,0.0,0.0,0.4965,0.3963,0.3497,0.8211,0.4481,0.5145,0.6173,0.0,0.0,0.8491,0.5199,0.3825,0.1994,0.0,0.0473,0.3598,0.0157,0.1139,0.2182,0.3054,0.0,0.1362,0.0285,0.0232,0.031,0.0501,0.0104,0.0346,0.6129,0.4837,0.0375,0.0836,0.0649,0.6477,0.0057,0.154,0.1356,0.1724,0.3568,0.0716,0.0072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
26,0.0,0.3244,0.0,0.4301,0.2399,0.5838,0.0,0.509,0.0,0.497,0.0,0.0,0.0,0.4877,0.39,0.3575,0.8036,0.347,0.5316,0.6037,0.0,0.0,0.864,0.5126,0.3924,0.1321,0.0,0.074,0.3218,0.0183,0.0973,0.216,0.2975,0.0,0.1204,0.024,0.0193,0.0343,0.0696,0.0133,0.0323,0.5995,0.5237,0.0285,0.1116,0.06,0.6366,0.0127,0.1508,0.1505,0.2055,0.3008,0.0653,0.0045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
27,0.0,0.3015,0.0,0.4305,0.2042,0.5671,0.0,0.5078,0.0,0.4883,0.0,0.0,0.0,0.4821,0.4035,0.3524,0.7601,0.1883,0.5353,0.5862,0.0,0.0,0.8705,0.48,0.3837,0.069,0.0,0.0857,0.2587,0.019,0.0852,0.1934,0.2704,0.0,0.0938,0.0205,0.0192,0.0318,0.081,0.0144,0.0271,0.5684,0.5534,0.0255,0.1138,0.0563,0.6065,0.0161,0.131,0.1711,0.2214,0.2624,0.0473,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
28,0.0,0.2601,0.0,0.4142,0.1837,0.5701,0.0,0.5278,0.0,0.4736,0.0,0.0,0.0,0.467,0.416,0.3708,0.7686,0.0684,0.5411,0.5852,0.0,0.0,0.8615,0.4165,0.3521,0.0375,0.0,0.0801,0.2126,0.0179,0.0785,0.1851,0.2451,0.0,0.0736,0.0194,0.0176,0.0282,0.0836,0.0159,0.0227,0.5363,0.5292,0.0365,0.0961,0.0554,0.5982,0.015,0.1055,0.1719,0.1876,0.2103,0.039,0.0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
29,0.0,0.231,0.0,0.3958,0.1744,0.5986,0.0,0.5182,0.0,0.4773,0.0,0.0,0.0,0.4629,0.4086,0.3732,0.7799,0.0196,0.5433,0.5545,0.0,0.0,0.8562,0.357,0.2895,0.0179,0.0,0.0605,0.1873,0.0153,0.0723,0.1774,0.2084,0.0,0.0532,0.0176,0.0156,0.0249,0.0814,0.0143,0.0189,0.4785,0.4812,0.0539,0.0842,0.0544,0.5643,0.0132,0.0947,0.1775,0.1783,0.1521,0.0357,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
30,0.0,0.2121,0.0,0.4118,0.1864,0.6028,0.0,0.4975,0.0,0.4841,0.0,0.0,0.0,0.472,0.3939,0.3528,0.7662,0.0114,0.5496,0.5116,0.0,0.0,0.8496,0.3151,0.2318,0.005,0.0,0.044,0.1479,0.0132,0.0767,0.1721,0.1944,0.0,0.0395,0.0157,0.0154,0.0209,0.0831,0.0127,0.0172,0.4264,0.4318,0.0741,0.08,0.0547,0.5064,0.0096,0.0859,0.1783,0.1908,0.1315,0.0355,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
31,0.0,0.2069,0.0,0.4293,0.1967,0.6128,0.0,0.4686,0.0,0.4984,0.0,0.0,0.0,0.4799,0.4257,0.3614,0.751,0.0079,0.5536,0.4949,0.0,0.0,0.8469,0.2961,0.1942,0.0026,0.0,0.0354,0.1371,0.0142,0.0757,0.1751,0.1884,0.0,0.0341,0.014,0.0148,0.0166,0.082,0.0121,0.016,0.4093,0.405,0.0995,0.0803,0.0554,0.4846,0.0083,0.0806,0.173,0.2051,0.1028,0.0319,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
32,0.0,0.2207,0.0,0.4209,0.2059,0.6151,0.0,0.4384,0.0,0.5291,0.0,0.0,0.0,0.4743,0.4494,0.4155,0.7433,0.0019,0.5298,0.4925,0.0,0.0,0.835,0.2745,0.1996,0.0005,0.0,0.0297,0.1445,0.0141,0.0778,0.1587,0.1779,0.0,0.0305,0.01,0.0166,0.0126,0.0719,0.0105,0.0171,0.4045,0.3553,0.124,0.0732,0.0515,0.4617,0.0053,0.0861,0.1705,0.1896,0.1018,0.0256,0.0039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
33,0.0,0.2575,0.0,0.4327,0.237,0.6379,0.0,0.4283,0.0,0.5521,0.0,0.0,0.0,0.4755,0.4814,0.4971,0.7403,0.0009,0.514,0.5021,0.0,0.0,0.7975,0.26,0.2242,0.0009,0.0,0.0317,0.1279,0.0127,0.0774,0.1473,0.1701,0.0,0.0295,0.0072,0.0174,0.0111,0.0712,0.0097,0.0181,0.4125,0.3295,0.1531,0.0701,0.0487,0.4552,0.0039,0.0928,0.1662,0.1733,0.1016,0.0201,0.0044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
