Time_Index,Demand_MW_MG,Demand_MW_SP,Demand_MW_GO,Demand_MW_RJ,Demand_MW_ES,Demand_MW_RO,Demand_MW_MS,Demand_MW_MT,Demand_MW_AC,Demand_MW_DF,Demand_MW_PA,Demand_MW_TO,Demand_MW_MA,Demand_MW_AP,Demand_MW_AM,Demand_MW_RR,Demand_MW_SC,Demand_MW_PR,Demand_MW_RS,Demand_MW_PI,Demand_MW_CE,Demand_MW_RN,Demand_MW_PB,Demand_MW_PE,Demand_MW_AL,Demand_MW_SE,Demand_MW_BA,Demand_MW_ARG,Demand_MW_URY,Demand_MW_VEN,Demand_MW_PRY
1,7319.0025,15507.313,2432.319,5487.9265,1356.5399999999997,514.0614999999999,885.8334999999998,1161.6725,210.71449999999996,865.467,2101.1304999999998,464.80699999999996,1975.6999999999998,160.379,790.7284999999999,128.45499999999998,2656.6495,4169.9345,4180.054499999999,730.8824999999999,2094.9204999999997,829.3685,931.6494999999999,2110.9055,651.3829999999999,516.2349999999999,3441.4555,0.0,0.0,0.0,0.0
2,7302.2815,15471.881499999998,2426.7644999999998,5475.3915,1353.435,512.8885,883.8094999999998,1159.0159999999998,210.23149999999998,863.4889999999999,2038.3749999999998,450.9265,1916.6934999999999,155.5835,767.1074999999998,124.61399999999999,2761.0235,4333.7519999999995,4344.2744999999995,709.987,2035.0514999999998,805.667,905.0269999999999,2050.5764999999997,632.7645,501.48049999999995,3343.0959999999995,0.0,0.0,0.0,0.0
3,7225.2775,15308.7195,2401.1654999999996,5417.65,1339.1634999999999,507.4835,874.4944999999999,1146.7915,208.01199999999997,854.381,2031.4979999999998,449.39699999999993,1910.2189999999998,155.066,764.5199999999999,124.19999999999999,2744.084,4307.175499999999,4317.629,717.278,2055.9355,813.9354999999999,914.3074999999999,2071.6214999999997,639.2505,506.621,3377.4004999999997,0.0,0.0,0.0,0.0
4,7062.782499999999,14964.443999999998,2347.1614999999997,5295.8075,1309.0449999999998,496.06399999999996,854.8294999999999,1120.9969999999998,203.343,835.1645,2045.252,452.44449999999995,1923.1564999999998,156.11249999999998,769.6949999999999,125.03949999999999,2657.489,4171.2455,4181.3655,721.2915,2067.4354999999996,818.4894999999999,919.425,2083.2135,642.8385,509.46149999999994,3396.3064999999997,0.0,0.0,0.0,0.0
5,6930.199,14683.521999999999,2303.105,5196.401499999999,1284.4695,486.74899999999997,838.7755,1099.9634999999998,199.52499999999998,819.49,2054.2794999999996,454.4455,1931.6435,156.80249999999998,773.0989999999999,125.59149999999998,2589.754,4064.9394999999995,4074.8064999999997,719.9459999999999,2063.6059999999998,816.9714999999999,917.723,2079.3495,641.6425,508.51849999999996,3390.0044999999996,0.0,0.0,0.0,0.0
6,6816.222499999999,14442.021999999999,2265.2239999999997,5110.933499999999,1263.3439999999998,478.74499999999995,824.987,1081.8625,196.23599999999996,806.012,2047.4024999999997,452.91599999999994,1925.1804999999997,156.27349999999998,770.4999999999999,125.166,2549.2279999999996,4001.3214999999996,4011.0389999999998,714.0005,2046.5514999999998,810.2209999999999,910.1444999999999,2062.18,636.341,504.30949999999996,3362.002,0.0,0.0,0.0,0.0
7,6497.592,13766.926,2159.332,4872.021,1204.2915,456.36599999999993,786.4159999999999,1031.2969999999998,187.07049999999998,768.338,1998.8264999999997,442.17499999999995,1879.5024999999998,152.57049999999998,752.2265,122.199,2399.6245,3766.4914999999996,3775.6339999999996,655.6495,1879.2955,744.004,835.7624999999999,1893.636,584.338,463.09349999999995,3087.2325,0.0,0.0,0.0,0.0
8,6304.4839999999995,13357.778999999999,2095.162,4727.224499999999,1168.5035,442.8075,763.0479999999999,1000.6494999999999,181.5045,745.4989999999999,1898.2359999999999,419.92249999999996,1784.9264999999998,144.8885,714.3685,116.04649999999998,2321.0679999999998,3643.1884999999993,3652.0434999999998,627.9229999999999,1799.8189999999997,712.54,800.4114999999999,1813.55,559.6244999999999,443.509,2956.673,0.0,0.0,0.0,0.0
9,6474.2815,13717.521999999999,2151.5924999999997,4854.541,1199.9675,454.733,783.5985,1027.5939999999998,186.392,765.578,1863.8509999999999,412.32099999999997,1752.5884999999998,142.26649999999998,701.431,113.95349999999999,2381.8569999999995,3738.604,3747.689,628.8199999999999,1802.3719999999998,713.552,801.55,1816.126,560.4179999999999,444.14149999999995,2960.8705,0.0,0.0,0.0,0.0
10,6720.6115,14239.438,2233.4495,5039.242499999999,1245.6225,472.02899999999994,813.4064999999998,1066.694,193.48749999999998,794.7074999999999,1862.5629999999996,412.0335,1751.3695,142.16299999999998,700.948,113.87299999999999,2455.4109999999996,3854.064,3863.4249999999997,634.018,1817.2875,719.4515,808.1854999999999,1831.1564999999998,565.0525,447.8215,2985.3654999999994,0.0,0.0,0.0,0.0
11,6924.782499999999,14672.044999999998,2301.2995,5192.330499999999,1283.4689999999998,486.36949999999996,838.1199999999999,1099.1009999999999,199.364,818.8459999999999,1860.4125,411.5505,1749.357,142.00199999999998,700.1314999999998,113.735,2518.6955,3953.4009999999994,3963.0035,636.5479999999999,1824.5324999999998,722.3265,811.4055,1838.459,567.3064999999999,449.6039999999999,2997.268,0.0,0.0,0.0,0.0
12,7087.5075,15016.8265,2355.3839999999996,5314.357,1313.6335,497.80049999999994,857.8194999999998,1124.93,204.0445,838.0969999999999,1879.33,415.7365,1767.136,143.451,707.25,114.89649999999999,2545.0649999999996,3994.7895,4004.4839999999995,635.2829999999999,1820.9099999999999,720.889,809.7954999999998,1834.8135,566.1795,448.707,2991.3224999999998,0.0,0.0,0.0,0.0
13,7109.1735,15062.7345,2362.583,5330.594999999999,1317.647,499.3299999999999,860.4415,1128.3685,204.67699999999996,840.65,1871.5904999999998,414.02299999999997,1759.8564999999999,142.85299999999998,704.3405,114.425,2527.3089999999997,3966.9019999999996,3976.5389999999998,636.617,1824.751,722.4069999999999,811.4975,1838.6774999999998,567.3755,449.65,2997.6245,0.0,0.0,0.0,0.0
